,Hotel_Name,Location,Destination,Facilities,Original Price,Current Price,Taxes and Charges,Discount,Price per Day,Hotel_Rating,Rating_Category,Preferred_Hotel,Reviews_available,Free_cancellation,pay at the property,Breakfast included?
0,Nirvana Hill Resort,Curtorim,Goa,Hill View Stone Cottage1 extra-large double bed,0.0,134400.0,16128.0,0.0,5376.0,7.6,Good,YES,105.0,YES,NO,NO
1,Zulu Land cottages - near Curlies beach shack and shiva valley - Anjuna beach,"Anjuna Beach, Anjuna",Goa,Cottage with Garden ViewEntire bungalow • 1 bedroom • 1 bathroom • 33m²1 large double bed,56738.0,51064.0,6128.0,5674.0,2042.57,7.1,Good,YES,0.0,NO,NO,YES
2,"Riverside, The European Homestay 1 and 2! Luxury and Value in Goa's delightful location",Agarvado,Goa,"One-Bedroom ApartmentEntire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 55m²2 beds (1 double, 1 sofa bed)",0.0,68768.0,8252.0,0.0,2750.71,8.8,Fabulous,YES,42.0,YES,NO,NO
3,Luxe 2BHK 10min from GOI airport with Pool access,Dabolim,Goa,"Two-Bedroom ApartmentEntire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 63m²3 beds (1 extra-large double, 1 sofa bed, 1 large double)No prepayment needed – ",0.0,156240.0,18749.0,0.0,6249.61,9.2,Superb,YES,15.0,YES,YES,NO
4,Treebo Rock Valley,Ponda,Goa,Economy Double Room1 large double bedNo prepayment needed – ,460319.0,266985.0,48057.0,193334.0,11251.5,7.8,Good,YES,108.0,YES,YES,YES
5,Storii By ITC Hotels Moira Riviera,Moira,Goa,Deluxe Room1 large double bed,0.0,289487.0,52108.0,0.0,12199.82,8.3,Very Good,YES,114.0,YES,NO,NO
6,Casa Do Leão A 150 year Old Portuguese Home,Nerul,Goa,Queen Room with Garden View1 large double bed,154700.0,116025.0,13923.0,38675.0,4641.0,9.3,Superb,YES,78.0,YES,NO,YES
7,Siolim Suites,Siolim,Goa,"One-Bedroom ApartmentEntire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 65m²4 beds (2 singles, 1 sofa bed, 1 large double)No prepayment needed – ",0.0,120960.0,14515.0,0.0,4838.39,9.4,Superb,YES,116.0,YES,YES,YES
8,Mojigao - Eco Resort,Assagao,Goa,Queen Cottage with Balcony1 double bed,204820.0,194579.0,23349.0,10241.0,7783.14,9.2,Superb,YES,347.0,NO,NO,YES
9,Lamrin Ucassaim Goa An Indo Portuguese Hotel,Moira,Goa,Deluxe Room1 extra-large double bed,0.0,383040.0,68947.0,0.0,16142.39,8.8,Fabulous,YES,62.0,YES,NO,YES
